name init coarse refined old_err coarse_err new_err delta improved mutated
2 0.312607 0.312607 0.306590 2.649951 2.649951 2.600105 -0.006017 1 0
2 0.432076 0.432076 0.430474 2.574011 2.574011 2.562931 -0.001602 1 0
2 0.553151 0.553151 0.554266 1.925372 1.925372 1.917509 0.001115 1 0
2 -0.818742 -0.836195 -0.832765 7.830334 7.624808 7.609479 -0.014022 1 0
2 0.675114 0.675114 0.678244 2.293105 2.293105 2.236191 0.003130 1 0
2 -0.636056 -0.531336 -0.534710 28.357299 26.172493 26.170161 0.101346 1 0
2 -0.565280 -0.582733 -0.586580 7.040389 6.783323 6.774947 -0.021301 1 0
2 -0.437610 -0.455064 -0.461398 7.044958 6.848197 6.830590 -0.023787 1 0
2 -0.305105 -0.340012 -0.347439 5.785184 5.371738 5.352785 -0.042334 1 0
2 -0.166533 -0.253799 -0.253221 4.844141 3.895662 3.895362 -0.086688 1 0
2 0.001190 -0.016264 -0.022216 4.849263 4.679612 4.661779 -0.023406 1 0
2 0.014786 -0.002667 0.001583 3.018675 2.980949 2.975853 -0.013204 1 0
2 0.209037 0.209037 0.211302 5.816283 5.816283 5.813296 0.002265 1 0
2 0.338521 0.338521 0.341592 6.802821 6.802821 6.794560 0.003071 1 0
2 0.526454 0.526454 0.531340 2.405584 2.405584 2.311900 0.004886 1 0
2 -0.818823 -0.836276 -0.837707 9.018506 8.695217 8.693263 -0.018884 1 0
2 0.652787 0.652787 0.655166 4.935325 4.935325 4.923504 0.002379 1 0
2 -0.684733 -0.702186 -0.704654 7.171032 6.870147 6.864774 -0.019921 1 0
2 -0.570399 -0.587852 -0.589692 5.747673 5.503421 5.500416 -0.019293 1 0
2 -0.469642 -0.487095 -0.482234 4.769430 4.695603 4.680892 -0.012592 1 0
2 -0.322652 -0.340105 -0.335606 2.665220 2.603331 2.590399 -0.012954 1 0
2 -0.201301 -0.218754 -0.226088 3.513685 3.461361 3.456158 -0.024787 1 0
2 -0.054848 -0.072301 -0.075362 2.665197 2.548635 2.545955 -0.020514 1 0
2 0.138483 0.138483 0.135658 5.050975 5.050975 5.045408 -0.002825 1 0
2 0.254447 0.254447 0.254488 5.094634 5.094634 5.094687 0.000041 0 0
2 -1.162835 -1.180288 -1.184904 13.117390 12.613174 12.588738 -0.022069 1 0
2 0.399112 0.399112 0.400192 5.978597 5.978597 5.976779 0.001080 1 0
2 -1.027480 -1.044934 -1.051818 13.790967 13.334085 13.292277 -0.024337 1 0
2 -0.900778 -0.918231 -0.924833 12.312842 11.928982 11.894880 -0.024055 1 0
2 -0.748534 -0.783441 -0.777395 11.816899 11.416158 11.396756 -0.028861 1 0
2 -0.596567 -0.648927 -0.641488 12.441026 11.899625 11.879703 -0.044920 1 0
2 -0.473012 -0.542825 -0.540212 12.183812 11.345178 11.342983 -0.067200 1 0
2 -0.371603 -0.458869 -0.458431 12.093386 11.230416 11.230390 -0.086828 1 0
2 -0.266508 -0.371228 -0.364040 7.838667 6.653476 6.643387 -0.097532 1 0
2 -0.188648 -0.328274 -0.326592 6.727243 5.686617 5.686233 -0.137944 1 0
2 -0.097903 -0.132810 -0.136302 4.698265 4.582002 4.581447 -0.038399 1 0
2 0.060135 0.042682 0.041333 3.956283 3.770568 3.769430 -0.018802 1 0
2 0.194003 0.176549 0.184437 3.543052 3.533046 3.438953 -0.009566 1 0
2 -1.136638 -1.171545 -1.165384 13.584316 12.999839 12.968521 -0.028746 1 0
2 0.326076 0.326076 0.323492 2.792813 2.792813 2.782158 -0.002583 1 0
2 -0.984816 -1.019722 -1.015158 12.982304 12.431803 12.418584 -0.030342 1 0
2 0.465517 0.465517 0.464041 2.568339 2.568339 2.563014 -0.001476 1 0
2 0.588555 0.588555 0.588432 2.859859 2.859859 2.859660 -0.000123 1 0
2 -0.732191 -0.767098 -0.772510 12.689606 12.092743 12.079711 -0.040319 1 0
2 0.725835 0.725835 0.726370 3.471690 3.471690 3.470459 0.000534 1 0
2 -0.628837 -0.681197 -0.676642 12.247672 11.573717 11.566639 -0.047805 1 0
2 -0.474206 -0.544020 -0.544764 12.536961 11.663919 11.663590 -0.070558 1 0
2 -0.365332 -0.470052 -0.462965 12.175207 11.060914 11.051467 -0.097632 1 0
2 -0.275574 -0.397747 -0.393017 9.602288 8.117353 8.112809 -0.117443 1 0
2 -0.174624 -0.314251 -0.312791 7.643552 6.268173 6.267832 -0.138167 1 0
2 -0.080172 -0.289612 -0.287406 6.907413 5.799715 5.799314 -0.207234 1 0
2 0.006103 -0.028803 -0.027407 5.490477 5.309173 5.308906 -0.033510 1 0
2 0.155131 0.137677 0.140545 4.473692 4.349701 4.343259 -0.014585 1 0
2 0.287388 0.287388 0.282430 3.018446 3.018446 2.963317 -0.004958 1 0
2 0.450876 0.450876 0.442941 3.284990 3.284990 3.157391 -0.007935 1 0
2 0.573050 0.573050 0.569107 2.087136 2.087136 2.023775 -0.003943 1 0
2 -0.986444 -1.003897 -1.007773 18.703753 18.480764 18.473357 -0.021329 1 0
2 0.711007 0.711007 0.710863 2.444079 2.444079 2.444025 -0.000145 1 0
2 -0.596166 -0.631072 -0.627411 9.165292 8.831508 8.825315 -0.031246 1 0
2 -0.490029 -0.524936 -0.527992 7.614907 7.199621 7.196091 -0.037963 1 0
2 -0.314014 -0.383827 -0.379639 7.858233 7.248095 7.244899 -0.065625 1 0
2 -0.227555 -0.314822 -0.316262 7.043579 6.207421 6.207029 -0.088707 1 0
2 -0.164666 -0.251932 -0.246334 5.163568 4.310162 4.302126 -0.081668 1 0
2 -0.048820 -0.153540 -0.146429 4.077832 3.793565 3.791148 -0.097609 1 0
