sec nanosec target_world_x target_world_y target_world_z filtered_world_x filtered_world_y filtered_world_z raw_yaw filter_yaw center_x center_y center_r center_vx center_vy method solve_ok time_cost
1 350000000 2.90076 0.0833543 0.198301 2.89394 0.0780144 0.197999 -0.111101 -0.102995 3.15152 0.05139 0.25896 0.287591 0.2241 ekf 1 0.183467
1 366666666 2.8849 0.0982571 0.198102 2.8897 0.093391 0.198243 -0.192859 -0.13938 3.14693 0.0573036 0.259753 0.0737578 0.429776 ekf 1 0.185389
1 383333333 2.91104 0.114295 0.200949 2.90432 0.110106 0.200451 -0.206961 -0.166155 3.16042 0.0671562 0.259684 0.314605 0.546492 ekf 1 0.178382
1 399999999 2.92215 0.129834 0.202328 2.91788 0.126936 0.202126 -0.27133 -0.207146 3.17201 0.0735287 0.259677 0.418781 0.552829 ekf 1 0.185914
1 416666666 2.98103 0.147306 0.206974 2.95875 0.14381 0.205932 -0.277992 -0.238693 3.21099 0.0824329 0.259595 0.835727 0.567357 ekf 1 0.217788
1 433333333 2.96958 0.16122 0.206936 2.97175 0.159815 0.207181 -0.351839 -0.286393 3.22077 0.0864803 0.259597 0.792088 0.517763 ekf 1 0.232061
1 449999999 3.00888 0.17739 0.210541 2.99915 0.175491 0.210013 -0.376073 -0.328533 3.2452 0.0916163 0.259953 0.896484 0.487932 ekf 1 0.200352
1 466666666 2.95898 0.188145 0.207724 2.986 0.189636 0.209085 -0.46097 -0.38614 3.2254 0.0923072 0.258429 0.617497 0.42159 ekf 1 0.184942
1 483333333 3.04399 0.206647 0.21493 3.02299 0.204516 0.213483 -0.473579 -0.432003 3.25932 0.0955567 0.260239 0.783329 0.39402 ekf 1 0.18673
1 500000000 3.03468 0.218884 0.214799 3.03738 0.218706 0.214978 -0.537279 -0.484245 3.26723 0.0978016 0.259707 0.75133 0.361729 ekf 1 0.256644
1 516666666 3.06271 0.233324 0.217402 3.05873 0.232657 0.217192 -0.580388 -0.53499 3.28234 0.100134 0.259935 0.76637 0.33684 ekf 1 0.241487
1 533333333 3.12524 0.249795 0.22295 3.10093 0.246956 0.221603 -0.612686 -0.581687 3.32094 0.10228 0.263318 0.900795 0.31823 ekf 1 0.206455
1 550000000 3.0986 -0.229089 0.144086 3.0986 -0.229089 0.144086 0.734908 0.734908 3.32094 0.10228 0 0.900795 0.31823 ekf 0 0.206455
1 566666666 3.15627 -0.222481 0.146008 3.15658 -0.22199 0.146006 0.651507 0.65914 3.36173 -0.0630552 0.259512 0.00700958 -0.000828453 ekf 1 0.237761
1 583333333 3.1056 -0.207322 0.143305 3.12243 -0.212057 0.143773 0.616573 0.637004 3.33444 -0.055196 0.263725 -0.695857 0.201445 ekf 1 0.166289
1 600000000 3.0492 -0.191916 0.140179 3.06954 -0.197363 0.140618 0.584716 0.614543 3.28754 -0.0435198 0.266818 -1.62383 0.445693 ekf 1 0.182818
1 616666666 3.0041 -0.176554 0.138299 3.01721 -0.18077 0.13834 0.54531 0.58692 3.24026 -0.032419 0.267879 -2.07178 0.567682 ekf 1 0.292386
1 633333333 2.99714 -0.163196 0.137946 2.99115 -0.165016 0.137466 0.493228 0.550329 3.21898 -0.0252254 0.267303 -1.88264 0.56565 ekf 1 0.221499
1 649999999 2.94291 -0.147433 0.13546 2.94923 -0.149563 0.135507 0.471605 0.516659 3.18201 -0.0173138 0.267723 -1.96974 0.560545 ekf 1 0.18285
