sec nanosec target_world_x target_world_y target_world_z filtered_world_x filtered_world_y filtered_world_z raw_yaw filter_yaw center_x center_y center_r center_vx center_vy method solve_ok time_cost
0 966666666 2.91277 0.220073 0.145276 2.91849 0.220103 0.145409 -2.21048 -0.592827 3.13396 0.0749499 0.259801 -0.0487727 0.205784 ekf 1 0.191651
0 983333333 2.96489 0.235422 0.148926 2.94428 0.232747 0.148032 -2.24246 -0.642756 3.1548 0.0751021 0.263004 0.0634784 0.187944 ekf 1 0.210031
1 0 3.03346 0.251816 0.154451 2.99194 0.24613 0.152598 -2.27455 -0.688888 3.20043 0.0744448 0.270081 0.278576 0.171962 ekf 1 0.19031
1 16666666 3.03865 0.26277 0.154557 3.02061 0.259036 0.154357 -2.32394 -0.73526 3.2232 0.0758097 0.273153 0.361258 0.165927 ekf 1 0.143148
1 33333333 3.0696 0.275231 0.157374 3.05122 0.271591 0.156812 -2.37127 -0.782452 3.24721 0.0767483 0.276365 0.438886 0.158979 ekf 1 0.196885
1 50000000 3.08676 0.285826 0.159862 3.07631 0.283419 0.159315 -2.42333 -0.8311 3.26387 0.0778882 0.278243 0.477134 0.152985 ekf 1 0.180928
1 66666666 3.01339 -0.179567 0.198942 3.01339 -0.179567 0.198942 -1.05649 -0.8311 3.26387 0.0778882 0 0.477134 0.152985 ekf 0 0.180928
1 83333333 3.02797 -0.16713 0.200672 3.0283 -0.168018 0.20067 -1.11844 0.457439 3.26022 -0.0538485 0.258506 0.00204325 0.0253114 ekf 1 0.183231
1 100000000 2.97203 -0.150704 0.195489 2.99054 -0.156337 0.196386 -1.14334 0.441799 3.22772 -0.0441553 0.262372 -0.770657 0.263241 ekf 1 0.177389
1 116666666 2.93561 -0.134978 0.194163 2.94946 -0.140338 0.194112 -1.18567 0.418053 3.19104 -0.033016 0.264352 -1.40109 0.501674 ekf 1 0.197529
1 133333333 2.92772 -0.120639 0.193672 2.92699 -0.123812 0.193216 -1.23039 0.387984 3.17154 -0.0238628 0.264191 -1.35759 0.580584 ekf 1 0.187644
1 149999999 2.95631 -0.106757 0.196256 2.93649 -0.107694 0.194938 -1.31758 0.336907 3.18411 -0.0209628 0.262367 -0.810173 0.52771 ekf 1 0.201773
1 166666666 2.91974 -0.0908335 0.194921 2.92081 -0.0922193 0.194651 -1.34849 0.289624 3.17236 -0.0172588 0.262474 -0.798666 0.483405 ekf 1 0.187793
1 183333333 2.95752 -0.0762622 0.196958 2.95752 -0.0762622 0.196958 -1.46946 0.289624 3.17236 -0.0172588 0 -0.798666 0.483405 ekf 0 0.187793
1 199999999 2.92832 -0.0595269 0.197135 2.92872 -0.0597173 0.197135 -1.52187 0.0535024 3.18858 -0.0458012 0.260228 -0.0027555 0.00566498 ekf 1 0.177401
1 216666666 2.90281 -0.0436574 0.194652 2.91124 -0.0490835 0.195082 -1.51065 0.0567134 3.17286 -0.03423 0.262044 -0.354618 0.232139 ekf 1 0.174189
1 233333333 2.87826 -0.0278071 0.192183 2.87826 -0.0278071 0.192183 -1.62202 0.0567134 3.17286 -0.03423 0 -0.354618 0.232139 ekf 0 0.174189
1 250000000 2.86557 -0.0119233 0.190994 2.86562 -0.0118837 0.190995 -1.6192 -0.0486294 3.12544 -0.0245284 0.260125 -0.00124513 -0.00100133 ekf 1 0.137753
1 266666666 2.85837 0.00398345 0.191412 2.85837 0.00398345 0.191412 -1.51563 -0.0486294 3.12544 -0.0245284 0 -0.00124513 -0.00100133 ekf 0 0.137753
1 283333333 2.8484 0.0198358 0.194042 2.8484 0.0198358 0.194042 -1.67021 -0.0486294 3.12544 -0.0245284 0 -0.00124513 -0.00100133 ekf 0 0.137753
1 300000000 2.86302 0.0354026 0.192195 2.86302 0.0354026 0.192195 -1.49617 -0.0486294 3.12544 -0.0245284 0 -0.00124513 -0.00100133 ekf 0 0.137753
1 316666666 2.85595 0.05132 0.19426 2.85595 0.05132 0.19426 -1.67895 -0.0486294 3.12544 -0.0245284 0 -0.00124513 -0.00100133 ekf 0 0.137753
1 333333333 2.86754 0.0669332 0.195564 2.86752 0.0671028 0.195563 -1.69297 -0.120814 3.12546 0.0357872 0.259836 0.00110032 -0.00435102 ekf 1 0.127681
1 350000000 2.89716 0.083169 0.19786 2.88749 0.0777109 0.197463 -1.69623 -0.123488 3.14439 0.0458238 0.258878 0.405264 0.223454 ekf 1 0.137468
1 366666666 2.86579 0.097653 0.196813 2.86579 0.097653 0.196813 -1.80375 -0.123488 3.14439 0.0458238 0 0.405264 0.223454 ekf 0 0.137468
1 383333333 2.90178 0.114232 0.19891 2.90165 0.114644 0.198908 -1.8125 -0.240693 3.15356 0.0528111 0.259392 0.00347273 -0.0104655 ekf 1 0.129193
1 399999999 2.9136 0.129264 0.202106 2.90982 0.124477 0.201553 -1.85821 -0.264755 3.15995 0.056661 0.259162 0.164036 0.187969 ekf 1 0.127886
1 416666666 2.97682 0.147131 0.205881 2.95566 0.140522 0.205348 -1.85892 -0.275363 3.20343 0.0705173 0.25747 1.13417 0.486486 ekf 1 0.138397
1 433333333 2.9578 0.160531 0.20585 2.96399 0.157164 0.206331 -1.93957 -0.310597 3.2098 0.0782627 0.258163 0.904428 0.563457 ekf 1 0.132176
1 449999999 3.00165 0.176936 0.210065 2.99362 0.173799 0.20961 -1.96529 -0.343922 3.23667 0.0867507 0.258164 1.09894 0.590095 ekf 1 0.136409
1 466666666 2.96496 0.188348 0.208414 2.98504 0.18837 0.209448 -2.04456 -0.394705 3.22341 0.089071 0.25823 0.69558 0.513854 ekf 1 0.129864
