t_rel target_x target_y target_z filtered_x filtered_y filtered_z raw_yaw filter_yaw center_x center_y center_r center_vx center_vy solve_ok time_cost dx_raw dy_raw dpos_raw dx_flt dy_flt dpos_flt dyaw mutation res_x res_y res_norm yaw_from_neg90 err_raw_x err_raw_y err_flt_x err_flt_y
0.433333 3.096380 0.248070 0.218963 2.989640 0.243613 0.209271 -0.611907 -0.500280 3.218060 0.118740 0.260330 0.165147 0.412622 1 0.260646 0.033370 0.014546 0.036403 0.021300 0.013996 0.025487 -0.050583 0 0.027861 0.342424 0.343556 0.958889 0.153661 0.219530 0.046921 0.215073
0.450000 3.160160 0.264776 0.223400 3.016220 0.257483 0.211806 -0.642284 -0.546885 3.238360 0.122237 0.260073 0.217419 0.401549 1 0.284553 0.063780 0.016706 0.065932 0.026580 0.013870 0.029981 -0.030377 0 0.077590 0.350787 0.359266 0.928512 0.217441 0.236236 0.073501 0.228943
0.466667 3.156380 0.275291 0.224853 3.040670 0.270807 0.214377 -0.703096 -0.596192 3.255590 0.124968 0.259733 0.257581 0.389097 1 0.235885 -0.003780 0.010515 0.011174 0.024450 0.013324 0.027845 -0.060812 0 0.068729 0.348459 0.355172 0.867700 0.213661 0.246751 0.097951 0.242267
0.483333 2.974340 -0.201821 0.135066 3.074120 -0.151196 0.198589 0.660738 0.900651 3.262290 0.086240 0.302956 0.215942 0.244782 1 0.201746 -0.182040 -0.477112 0.510661 0.033450 -0.422003 0.423327 1.363834 1 -0.473874 -0.048865 0.476387 2.231534 0.031621 -0.230361 0.131401 -0.179736
0.500000 2.999000 -0.191634 0.135978 3.046070 -0.159722 0.185717 0.599287 0.828157 3.258420 0.071615 0.314024 0.185953 0.188780 1 0.198141 0.024660 0.010187 0.026681 -0.028050 -0.008526 0.029317 -0.061451 0 -0.436546 -0.003948 0.436564 2.170083 0.056281 -0.220174 0.103351 -0.188262
0.516667 2.953960 -0.176525 0.133613 3.020910 -0.156553 0.174621 0.562433 0.759641 3.251820 0.062765 0.318470 0.157901 0.154433 1 0.273347 -0.045040 0.015109 0.047507 -0.025160 0.003169 0.025359 -0.036854 0 -0.467683 0.030123 0.468652 2.133229 0.011241 -0.205065 0.078191 -0.185093
0.533333 2.932870 -0.162508 0.132298 2.999210 -0.148780 0.165159 0.522666 0.694248 3.245640 0.056380 0.320659 0.134839 0.129582 1 0.182055 -0.021090 0.014017 0.025323 -0.021700 0.007773 0.023050 -0.039767 0 -0.472840 0.058960 0.476502 2.093462 -0.009849 -0.191048 0.056491 -0.177320
0.550000 2.951810 -0.150378 0.133413 2.983120 -0.138550 0.157455 0.462201 0.628682 3.243630 0.050864 0.322089 0.124192 0.108699 1 0.251883 0.018940 0.012130 0.022491 -0.016090 0.010230 0.019067 -0.060465 0 -0.435446 0.087052 0.444062 2.032997 0.009091 -0.178918 0.040401 -0.167090
0.566667 2.940010 -0.136313 0.132609 2.969410 -0.126907 0.150980 0.414592 0.564848 3.242270 0.046009 0.323034 0.116081 0.090935 1 0.206488 -0.011800 0.014065 0.018359 -0.013710 0.011643 0.017987 -0.047609 0 -0.432383 0.113345 0.446993 1.985388 -0.002709 -0.164853 0.026691 -0.155447
0.583333 2.889380 -0.119980 0.130213 2.954570 -0.114460 0.145392 0.391976 0.506123 3.237460 0.042341 0.323442 0.100560 0.077502 1 0.200283 -0.050630 0.016333 0.053199 -0.014840 0.012447 0.019369 -0.022616 0 -0.471640 0.136590 0.491020 1.962772 -0.053339 -0.148520 0.011851 -0.143000
0.600000 2.908900 -0.106033 0.131360 2.943830 -0.100990 0.140948 0.324631 0.445586 3.236040 0.038577 0.323833 0.093750 0.064603 1 0.217131 0.019520 0.013947 0.023991 -0.010740 0.013470 0.017228 -0.067345 0 -0.430429 0.162308 0.460015 1.895427 -0.033819 -0.134573 0.001111 -0.129530
0.616667 2.911330 -0.091952 0.131801 2.935850 -0.087477 0.137416 0.303275 0.390027 3.235550 0.035723 0.324029 0.089439 0.054688 1 0.261760 0.002430 0.014081 0.014289 -0.007980 0.013513 0.015693 -0.021356 0 -0.420990 0.181566 0.458475 1.874071 -0.031389 -0.120492 -0.006869 -0.116017
0.633333 2.850130 -0.075135 0.129060 2.924470 -0.073630 0.134285 0.282007 0.338808 3.230000 0.034039 0.323949 0.074234 0.048404 1 0.273003 -0.061200 0.016817 0.063469 -0.011380 0.013847 0.017923 -0.021268 0 -0.470020 0.201979 0.511580 1.852803 -0.092589 -0.103675 -0.018249 -0.102170
